item_id,item_name,stock,short_description,price
1,Margherita Pizza,20,Classic cheese and tomato pizza,299
2,Paneer Tikka,15,Grilled cottage cheese with spices,249
3,Chicken Biryani,10,Spicy basmati rice with chicken,349
4,Masala Dosa,25,South Indian rice crepe with potato,149
5,Chole Bhature,18,Spicy chickpeas with fried bread,179
6,Cold Coffee,30,Chilled coffee with cream and ice,89
7,Lemonade,40,Fresh lemon drink with mint,49
8,Chocolate Brownie,12,Warm chocolate dessert with nuts,129
9,Veg Burger,20,Burger with crispy vegetable patty,199
10,Butter Naan,50,Soft flatbread with butter,49
11,Mango Lassi,22,Thick mango yogurt drink,79
12,Tandoori Chicken,10,Char-grilled chicken with spices,299
13,Schezwan Noodles,17,Spicy Indo-Chinese noodles,189
14,Spring Rolls,25,Deep-fried vegetable rolls,149
15,Vanilla Ice Cream,35,Creamy vanilla scoop,99
